date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:37	157349/157349	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:39%20GMT	https://phongtro123.com/cho-thue-can-ho	D:/anhhome/phongtro123.com/cho-thue-can-ho.html	(from https://phongtro123.com/)
16:01:38	142232/142232	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:40%20GMT	https://phongtro123.com/tim-nguoi-o-ghep	D:/anhhome/phongtro123.com/tim-nguoi-o-ghep.html	(from https://phongtro123.com/)
16:01:39	136138/136138	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:41%20GMT	https://phongtro123.com/cho-thue-mat-bang	D:/anhhome/phongtro123.com/cho-thue-mat-bang.html	(from https://phongtro123.com/)
16:01:39	110352/110352	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:43%20GMT	https://phongtro123.com/blog.html	D:/anhhome/phongtro123.com/blog.html	(from https://phongtro123.com/)
16:01:40	74751/74751	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:43%20GMT	https://phongtro123.com/bang-gia-dich-vu	D:/anhhome/phongtro123.com/bang-gia-dich-vu.html	(from https://phongtro123.com/)
16:01:40	458/458	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Nov%202024%2009:01:43%20GMT	https://phongtro123.com/cho-thue-can-ho-mini	D:/anhhome/phongtro123.com/cho-thue-can-ho-mini	(from https://phongtro123.com/)
16:01:42	152717/152717	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:45%20GMT	https://phongtro123.com/cho-thue-can-ho-chung-cu-mini	D:/anhhome/phongtro123.com/cho-thue-can-ho-chung-cu-mini.html	(from https://phongtro123.com/)
16:01:43	155186/155186	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:46%20GMT	https://phongtro123.com/cho-thue-can-ho-dich-vu	D:/anhhome/phongtro123.com/cho-thue-can-ho-dich-vu.html	(from https://phongtro123.com/)
16:01:43	77252/77252	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:46%20GMT	https://phongtro123.com/khuyen-mai-dac-biet-cho-thanh-vien-moi.html	D:/anhhome/phongtro123.com/khuyen-mai-dac-biet-cho-thanh-vien-moi.html	(from https://phongtro123.com/)
16:01:43	192777/192777	---M--	200	added ('OK')	image/png	etag:%22672e0e6d-2f109%22	https://phongtro123.com/images/khuyen-mai-50-cho-thanh-vien-moi.png	D:/anhhome/phongtro123.com/images/khuyen-mai-50-cho-thanh-vien-moi.png	(from https://phongtro123.com/)
16:01:44	418/418	---MC-	302	error ('Found')	text/html	date:Sat,%2016%20Nov%202024%2009:01:47%20GMT	https://phongtro123.com/quan-ly/dang-tin-moi.html	D:/anhhome/phongtro123.com/quan-ly/dang-tin-moi.html	(from https://phongtro123.com/)
16:01:44	127284/127284	---M--	200	added ('OK')	image/png	etag:%22672e0e6d-1f134%22	https://phongtro123.com/images/carousel-dang-nhanh-thue-le.png	D:/anhhome/phongtro123.com/images/carousel-dang-nhanh-thue-le.png	(from https://phongtro123.com/)
16:01:49	155538/155538	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:52%20GMT	https://phongtro123.com/tags/phong-tro-sinh-vien-tphcm.html	D:/anhhome/phongtro123.com/tags/phong-tro-sinh-vien-tphcm.html	(from https://phongtro123.com/)
16:01:49	74424/74424	---M--	200	added ('OK')	image/png	etag:%22672e0e6d-122b8%22	https://phongtro123.com/images/carousel-phongtro-sinh-vien.png	D:/anhhome/phongtro123.com/images/carousel-phongtro-sinh-vien.png	(from https://phongtro123.com/)
16:01:51	130804/130804	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:54%20GMT	https://phongtro123.com/cho-thue-phong-o-179-28-dang-thuy-tram-phuong-13-quan-binh-thanh-tp-ho-chi-minh-pr669874.html	D:/anhhome/phongtro123.com/cho-thue-phong-o-179-28-dang-thuy-tram-phuong-13-quan-binh-thanh-tp-ho-chi-minh-pr669874.html	(from https://phongtro123.com/)
16:01:51	400/400	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22672e0e6d-190%22	https://phongtro123.com/images/thumb_preload.svg	D:/anhhome/phongtro123.com/images/thumb_preload.svg	(from https://phongtro123.com/)
16:01:53	178953/178953	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:56%20GMT	https://phongtro123.com/tinh-thanh/ho-chi-minh/quan-binh-thanh	D:/anhhome/phongtro123.com/tinh-thanh/ho-chi-minh/quan-binh-thanh.html	(from https://phongtro123.com/)
16:01:55	131827/131827	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:01:58%20GMT	https://phongtro123.com/phong-full-noi-that-gan-gigamall-2-pr669873.html	D:/anhhome/phongtro123.com/phong-full-noi-that-gan-gigamall-2-pr669873.html	(from https://phongtro123.com/)
16:01:57	170031/170031	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:00%20GMT	https://phongtro123.com/tinh-thanh/ho-chi-minh/quan-thu-duc	D:/anhhome/phongtro123.com/tinh-thanh/ho-chi-minh/quan-thu-duc.html	(from https://phongtro123.com/)
16:01:58	136313/136313	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:01%20GMT	https://phongtro123.com/thue-ky-tuc-xa-sang-trong-lich-su-bao-tat-ca-chi-phi-pr669872.html	D:/anhhome/phongtro123.com/thue-ky-tuc-xa-sang-trong-lich-su-bao-tat-ca-chi-phi-pr669872.html	(from https://phongtro123.com/)
16:02:00	176728/176728	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:03%20GMT	https://phongtro123.com/tinh-thanh/ho-chi-minh/quan-go-vap	D:/anhhome/phongtro123.com/tinh-thanh/ho-chi-minh/quan-go-vap.html	(from https://phongtro123.com/)
16:02:01	141933/141933	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:04%20GMT	https://phongtro123.com/khai-truong-phong-moi-noi-that-day-du-cua-so-gan-nguyen-anh-thu-pr669871.html	D:/anhhome/phongtro123.com/khai-truong-phong-moi-noi-that-day-du-cua-so-gan-nguyen-anh-thu-pr669871.html	(from https://phongtro123.com/)
16:02:05	165425/165425	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:07%20GMT	https://phongtro123.com/tinh-thanh/ho-chi-minh/quan-12	D:/anhhome/phongtro123.com/tinh-thanh/ho-chi-minh/quan-12.html	(from https://phongtro123.com/)
16:02:06	133752/133752	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:09%20GMT	https://phongtro123.com/cho-thue-phong-29m2-ban-cong-rong-thoang-noi-that-moi-ngay-binh-loi-binh-thanh-gan-vlu3-giap-gv-pr669869.html	D:/anhhome/phongtro123.com/cho-thue-phong-29m2-ban-cong-rong-thoang-noi-that-moi-ngay-binh-loi-binh-thanh-gan-vlu3-giap-gv-pr669869.html	(from https://phongtro123.com/)
16:02:07	138774/138774	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:10%20GMT	https://phongtro123.com/cho-thue-can-ho-studio-moi-xay-full-noi-that-cua-so-troi-ngay-vong-xoay-le-dai-hanh-pr669868.html	D:/anhhome/phongtro123.com/cho-thue-can-ho-studio-moi-xay-full-noi-that-cua-so-troi-ngay-vong-xoay-le-dai-hanh-pr669868.html	(from https://phongtro123.com/)
16:02:08	158703/158703	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:11%20GMT	https://phongtro123.com/cho-thue-can-ho-dich-vu-quan-tan-binh	D:/anhhome/phongtro123.com/cho-thue-can-ho-dich-vu-quan-tan-binh.html	(from https://phongtro123.com/)
